inventory_id,store_unit,item_number,active_flag,id,item_number_str,item_desc
41670273,13076,64813,0,41670273,64813,UNB HOOD 36 IN STAINLES
41670299,13076,72373,0,41670299,72373,30IN GAS F S
41670337,13076,82927,0,41670337,82927,OTL FS RNG
41671737,17286,81903,0,41671737,81903,DLGX5781V LG  LG GAS DR
41672911,13134,26169,0,41672911,26169,DI RANGE WHIRLPOOL
41673201,13134,79055,0,41673201,79055,KM 27CF  BM I W
41673233,13134,80093,0,41673233,80093,KME 32CF B M I W
41673293,13134,88093,0,41673293,88093,SAMS 28CF SAM SAM
41673303,13134,89093,0,41673303,89093,SAMS 28CF  FDBM GNG
41673339,13134,95063,0,41673339,95063,LG 24CF FD LG BM CD
41674093,17412,20715,0,41674093,20715,KENMORE EL KME ITE DISH P
41675277,13268,54003,0,41675277,54003,KPRO 30 WD
41675297,13268,55212,0,41675297,55212,WALL OVEN 30 KM ELITE
41676663,17470,57992,0,41676663,57992,51992 KME  KENMORE PEDES
41676819,17470,87942,0,41676819,87942,81942 KM  KENMORE 24 IN
41676821,17470,87942,0,41676821,87942,81942 KM  KENMORE 24 IN
41677453,13333,54089,0,41677453,54089,KME30SNGWO 
41677469,13333,61222,0,41677469,61222,KE HOOD42  280 300CFM WOW
41677475,13333,62783,0,41677475,62783,JA 32 HOOD SS
41678833,13345,17725,0,41678833,17725,OTL SP DSW GE DISHWASHER
41678951,13345,48502,0,41678951,48502,ELECTRIC D ROP IN RANGE
41678963,13345,54003,0,41678963,54003,KPRO 30 WD
41678969,13345,55990,0,41678969,55990,KM WRM DWR KME
41681343,17495,16443,0,41681343,16443,GE DISHWAS GE HER BOTTLEJ
41681345,17495,16833,0,41681345,16833,PROFILE BO TTLE WASH 
41681401,17495,20792,0,41681401,20792,KME DISH B KME I WHITES
41681411,17495,20819,0,41681411,20819,BL KENMORE KME  ELITE THI
41681423,17495,21313,0,41681423,21313,24 INCH DW ELECTROLUX
41681449,17495,24947,0,41681449,24947,WHP 3RD RA CK BSS
41681457,17495,26169,0,41681457,26169,DI RANGE WHIRLPOOL
41681459,17495,26169,0,41681459,26169,DI RANGE WHIRLPOOL
41681461,17495,26169,0,41681461,26169,DI RANGE WHIRLPOOL
41681463,17495,26169,0,41681463,26169,DI RANGE WHIRLPOOL
41681487,17495,48509,0,41681487,48509,ELECTRIC D ROP IN RANGE
41681525,17495,62493,0,41681525,62493,KA  HOOD SO
41681529,17495,63078,0,41681529,63078,HOOD LINER 
41681531,17495,63078,0,41681531,63078,HOOD LINER 
41681535,17495,63613,0,41681535,63613,30IN RANGE  HOOD
41681539,17495,64189,0,41681539,64189,KME HOOD BLK
41681541,17495,64549,0,41681541,64549,36 IN FR H OOD
41681543,17495,65453,0,41681543,65453,GE  CAFE 36 HOOD
41681855,17495,72493,0,41681855,72493,SS  ELEC DRY
41682119,17495,9686,0,41682119,9686,GE 21CF TM 
41682123,17495,9686,0,41682123,9686,GE 21CF TM 
41683705,13526,16483,0,41683705,16483,DW THIRD R GE  BOTTLE WAS
41683795,13526,20379,0,41683795,20379,KAD DISH 
41683817,13526,20793,0,41683817,20793,KME DISH B KME I STAINLES
41683819,13526,20799,0,41683819,20799,KME DISH B KME I BLACKS
41683821,13526,20815,0,41683821,20815,AFP KENMOR KME E ELITE TH
41683827,13526,20815,0,41683827,20815,AFP KENMOR KME E ELITE TH
41683835,13526,23517,0,41683835,23517,SAMSUNG DI SAM SHWASHER
41683837,13526,23517,0,41683837,23517,SAMSUNG DI SAM SHWASHER
41683855,13526,23833,0,41683855,23833,LDF8874ST LG
41683933,13526,32183,0,41683933,32183,WRM DRW ICON
41683971,13526,51223,0,41683971,51223,WARM DRW 27  
41683975,13526,51223,0,41683975,51223,WARM DRW 27  
